description,serving_size,"Carbohydrate, by difference-G",Cholesterol-MG,Energy-KCAL,"Fiber, total dietary-G",Protein-G,"Sugars, total including NLEA-G",Total lipid (fat)-G,"Magnesium, Mg-MG","Vitamin C, total ascorbic acid-MG",Vitamin B-6-MG
COOKED WILD RICE,70.0,18.57,0.0,86.0,1.4,2.86,1.43,0.0,11.0,0.0,0.057
SPROUTED WATERMELON SEEDS,28.0,14.29,0.0,571.0,3.6,35.71,0.0,39.29,0.0,0.0,0.0
"GO RAW, SPROUTED PUMPKIN SEEDS WITH CELTIC SEA SALT",28.0,17.86,0.0,643.0,7.1,25.0,0.0,53.57,214.0,0.0,0.571
"GO RAW, SPROUTED SPICY FIESTA SEEDS WITH CELTIC SEA SALT",28.0,17.86,0.0,643.0,7.1,25.0,0.0,53.57,214.0,4.3,0.571
SPROUTED SUPER SIMPLE SEEDS,28.0,17.86,0.0,679.0,7.1,25.0,0.0,57.14,214.0,0.0,0.571
"GREAT VALUE, HONEY NUT SPINS, SWEETENED TOASTED OAT CEREAL",30.0,83.33,0.0,400.0,3.3,6.67,36.67,5.0,80.0,20.0,1.667
"RALEY'S, HONEY NUT TOASTED OATS, A SWEETENED TOASTED OAT CEREAL WITH THE FLAVOR OF HONEY & NUTS",28.0,78.57,0.0,393.0,7.1,7.14,32.14,5.36,86.0,21.4,1.786
"ESSENTIAL EVERYDAY, HONEY OATS & FLAKES, WITH ALMONDS, TOASTED MULTI-GRAIN CEREAL, WITH ALMONDS & HONEY OAT CLUSTERS",30.0,83.33,0.0,400.0,6.7,6.67,20.0,5.0,27.0,20.0,1.667
"KROGER, CRUNCHY WHEAT FLAKES CEREAL WITH RAISINS",59.0,77.97,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
"RAISIN BRAN CEREAL, RAISIN BRAN",56.0,80.36,0.0,375.0,12.5,7.14,32.14,1.79,143.0,10.7,0.893
"APPLES & CINNAMON INSTANT WHOLE GRAIN OATS, APPLES & CINNAMON",35.0,77.14,0.0,371.0,8.6,8.57,25.71,4.29,114.0,0.0,1.143
"SHOPRITE, INSTANT OATMEAL, PEACHES & CREAM",35.0,77.14,0.0,371.0,5.7,8.57,31.43,5.71,91.0,0.0,1.143
"SHOPRITE, INSTANT OATMEAL, STRAWBERRIES & CREAM",35.0,77.14,0.0,371.0,5.7,8.57,34.29,5.71,91.0,0.0,1.143
"WHEAT BERRIES 100% ORGANIC EINKORN, WHEAT BERRIES",48.0,66.67,0.0,354.0,8.3,18.75,0.0,3.12,125.0,0.0,0.417
"PACIFIC NORTHWEST, KALE CHIPS, LAVA ROCK SRIRACHA, FIERY HOUSEMADE ORGANIC SRIRACHA",28.0,42.86,0.0,393.0,3.6,17.86,10.71,25.0,243.0,321.4,6.0
"SPRINGFIELD, CRISPY TOASTED RICE CEREAL",33.0,87.88,0.0,394.0,0.0,6.06,12.12,0.0,24.0,45.5,1.515
"DIERBERGS, CRISPY HONEY OATS & FLAKES CEREAL",30.0,83.33,0.0,400.0,6.7,6.67,20.0,5.0,80.0,20.0,1.667
"GREAT VALUE, CRUNCHY HONEY OATS WITH ALMONDS CEREAL",31.0,83.87,0.0,419.0,6.5,6.45,25.81,4.84,52.0,48.4,1.613
"EXTRA RAISIN BRAN CEREAL, EXTRA RAISIN BRAN",56.0,76.79,0.0,357.0,10.7,7.14,37.5,1.79,107.0,10.7,0.893
"APPLE BLASTS SWEETENED MULTI-GRAIN CEREAL, APPLE BLASTS",33.0,87.88,0.0,364.0,3.0,6.06,48.48,0.0,24.0,45.5,1.515
"MILLVILLE, CRUNCHY CRANBERRY ALMOND MULTIGRAIN CEREAL",55.0,78.18,0.0,364.0,9.1,7.27,20.0,4.55,73.0,0.0,0.909
RAISIN BRAN CEREAL,59.0,77.97,0.0,339.0,13.6,8.47,27.12,1.69,169.0,0.0,0.847
"BRAN FLAKES WHOLE WHEAT WITH BRAN CEREAL, BRAN FLAKES",29.0,79.31,0.0,310.0,17.2,10.34,17.24,1.72,138.0,206.9,6.897
"ESSENTIAL EVERYDAY, LOW FAT GRANOLA, WHOLE GRAIN CEREAL WITH RAISINS & ALMONDS",55.0,81.82,0.0,400.0,5.5,7.27,27.27,4.55,73.0,0.0,3.636
"HONEY NUT SWEETENED TOASTED OAT CEREAL WITH REAL HONEY AND NATURAL ALMOND FLAVOR, HONEY NUT TOASTED OATS",28.0,78.57,0.0,393.0,7.1,7.14,32.14,5.36,86.0,21.4,1.786
"TOASTED MULTI-GRAIN CEREAL WITH HONEY OAT CLUSTERS & SLICED STRAWBERRIES, HONEY & OATS WITH STRAWBERRIES",42.0,83.33,0.0,381.0,4.8,7.14,26.19,3.57,57.0,11.4,1.19
"MILLVILLE, CRUNCHY BANANA NUT, MULTIGRAIN CEREAL",55.0,76.36,0.0,382.0,9.1,9.09,18.18,7.27,73.0,0.0,0.909
HONEY CRUNCH 'N OATS,30.0,83.33,0.0,400.0,6.7,6.67,20.0,5.0,27.0,20.0,1.667
WHOLE GRAIN WHEAT CEREAL,55.0,80.0,0.0,364.0,12.7,10.91,0.0,1.82,109.0,0.0,0.364
"MILLVILLE, CRUNCHY FRUIT & NUT MULTIGRAIN CEREAL",55.0,78.18,0.0,382.0,9.1,7.27,23.64,5.45,73.0,0.0,0.909
"TOASTED RICE CEREAL, CRISPY RICE",33.0,87.88,0.0,394.0,0.0,9.09,12.12,0.0,24.0,45.5,1.515
CRISPY OATS MULTIGRAIN CEREAL,29.0,79.31,0.0,379.0,10.3,6.9,20.69,5.17,83.0,20.7,1.724
NATURAL GRANOLA CEREAL,55.0,70.91,0.0,418.0,9.1,10.91,21.82,12.73,109.0,0.0,0.073
"TOASTED OATS ANTIOXIDANTS WHOLE GRAIN CEREAL, TOASTED OATS",30.0,73.33,0.0,400.0,13.3,10.0,3.33,6.67,133.0,50.0,1.667
"PUBLIX, INSTANT OATMEAL, MAPLE & BROWN SUGAR",34.0,70.59,0.0,353.0,8.8,11.76,11.76,5.88,176.0,0.0,1.176
"PUBLIX, INSTANT OATMEAL, APPLE & CINNAMON",31.0,74.19,0.0,355.0,9.7,9.68,19.35,4.84,129.0,0.0,1.29
"PUBLIX, INSTANT OATMEAL, MAPLE & BROWN SUGAR",43.0,74.42,0.0,372.0,7.0,9.3,20.93,4.65,140.0,0.0,0.93
"MY ESSENTIALS, PISTACHIO KERNELS",28.0,28.57,0.0,571.0,10.7,21.43,7.14,46.43,114.0,0.0,1.071
"TOASTED WHEAT CEREAL, TOASTED WHEAT",47.0,82.98,0.0,340.0,10.6,8.51,10.64,2.13,85.0,12.8,1.064
"GREAT VALUE, FRUIT SPINS, SWEETENED MULTIGRAIN CEREAL, SWEETENED MULTIGRAIN",29.0,86.21,0.0,379.0,10.3,3.45,37.93,3.45,28.0,51.7,1.724
"FRUITY PUFFS FLAVORED SWEETENED PUFFED CORN CEREAL, FRUITY PUFFS",30.0,86.67,0.0,400.0,3.3,3.33,46.67,3.33,27.0,20.0,1.667
"TOASTED WHOLE-GRAIN OATS CEREAL, TOASTED WHOLE-GRAIN OATS",28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
"CRISP RICE CEREAL, CRISP RICE",33.0,87.88,0.0,394.0,0.0,6.06,12.12,0.0,24.0,45.5,1.515
"CRUNCHY RAISIN BRAN CRUNCHY WHEAT & RICE FLAKES WITH RAISINS & CRUNCHY OAT CLUSTERS CEREAL, CRUNCHY RAISIN BRAN",53.0,83.02,0.0,358.0,7.5,5.66,37.74,1.89,75.0,0.0,0.943
"HERR'S, BAKED POTATO CRISPS, SOUR CREAM & ONION",28.39999961853028,77.46,0.0,423.0,7.0,7.04,7.04,10.56,56.0,8.5,0.423
"FOOD CLUB, REDUCED FAT PEANUT SPREAD",36.0,38.89,0.0,500.0,5.6,22.22,11.11,33.33,167.0,0.0,0.333
"DELUXE ROASTED & SALTED WITH SEA SALT CASHEWS WHOLE CASHEWS THAT ARE ROASTED IN VEGETABLE OIL WITH SEA SALT TOPICAL, DELUXE ROASTED & SALTED WITH SEA SALT",28.0,28.57,0.0,571.0,3.6,17.86,3.57,46.43,286.0,0.0,0.286
"FOOD LION, REGULAR INSTANT OATMEAL",28.0,67.86,0.0,357.0,10.7,10.71,0.0,7.14,143.0,0.0,1.429
SWEETENED WHOLE WHEAT AND RICE CEREAL WITH CINNAMON,30.0,80.0,0.0,433.0,3.3,3.33,33.33,11.67,27.0,20.0,1.667
"PACIFIC NORTHWEST KALE CHIPS, KALE CHIPS",28.0,39.29,0.0,436.0,10.7,17.86,7.14,25.0,157.0,338.6,5.071
CASHEW MILK,227.0,5.73,0.0,79.0,0.4,2.2,2.64,5.29,35.0,0.0,0.053
"DAVE'S KILLER BREAD, ORGANIC GOOD SEED BREAD",45.0,55.56,0.0,311.0,8.9,11.11,11.11,6.67,89.0,0.0,0.178
"DAVE'S KILLER BREAD, ORGANIC ROCKIN' RYE BREAD",45.0,53.33,0.0,267.0,8.9,11.11,8.89,4.44,71.0,0.0,0.267
"ORGANIC 21 WHOLE GRAINS AND SEEDS BREAD, 21 WHOLE GRAINS AND SEEDS",45.0,48.89,0.0,267.0,11.1,11.11,11.11,4.44,89.0,0.0,0.178
"DAVE'S KILLER BREAD, ORGANIC SPELT BREAD",47.0,51.06,0.0,277.0,4.3,8.51,8.51,4.26,128.0,0.0,0.17
"DAVE'S KILLER BREAD, POWERSEED, ORGANIC BREAD",45.0,40.0,0.0,244.0,13.3,11.11,4.44,4.44,89.0,0.0,0.178
"DAVE'S KILLER BREAD, THIN-SLICED BREAD, GOOD SEED",28.0,46.43,0.0,250.0,10.7,10.71,7.14,7.14,86.0,0.0,0.143
ORGANIC BREAD,28.0,42.86,0.0,214.0,10.7,10.71,10.71,3.57,86.0,0.0,0.143
"DAVE'S KILLER BREAD, ORGANIC SEEDED HONEY WHEAT BREAD",42.0,52.38,0.0,238.0,11.9,11.9,11.9,2.38,76.0,0.0,0.19
"DAVE'S KILLER BREAD, 100% WHOLE WHEAT ORGANIC BREAD",42.0,52.38,0.0,238.0,7.1,9.52,9.52,2.38,76.0,0.0,0.19
"DAVE'S KILLER BREAD, THIN-SLICED POWERSEED ORGANIC BREAD",28.0,39.29,0.0,214.0,10.7,10.71,3.57,3.57,86.0,0.0,0.143
"DAVE'S KILLER BREAD, ORGANIC WHOLE WHEAT BREAD",28.0,50.0,0.0,250.0,7.1,7.14,7.14,3.57,86.0,0.0,0.143
"DAVE'S KILLER BREAD, ORGANIC SPROUTED WHOLE GRAINS BREAD",37.0,40.54,0.0,243.0,8.1,10.81,10.81,2.7,86.0,0.0,0.216
"ORGANIC WHITE BREAD DONE RIGHT, WHITE",40.0,52.5,0.0,275.0,5.0,7.5,5.0,5.0,20.0,0.0,0.1
"DAVE'S KILLER BREAD, SIN DAWG, 100% WHOLE GRAIN ORGANIC BREAD ROLL, CINNAMON-SUGAR",57.0,50.88,0.0,351.0,7.0,8.77,22.81,15.79,70.0,0.0,0.14
"SHOPRITE, PEANUT BUTTER SPREAD, CREAMY",35.0,37.14,0.0,543.0,8.6,20.0,11.43,34.29,171.0,0.0,0.343
"FOOD LION, INSTANT OATMEAL, MAPLE & BROWN SUGAR",43.0,74.42,0.0,372.0,7.0,9.3,20.93,4.65,140.0,0.0,0.93
"THIN 'N TRIM, FULLY COOKED CHICKEN SAUSAGE, CHIPOTLE & PEACH SALSA, CHIPOTLE & PEACH SALSA",56.0,0.0,36.0,125.0,0.0,21.43,0.0,4.46,43.0,0.0,0.536
"MAPLE & BROWN SUGAR FLAVORED INSTANT OATMEAL, MAPLE & BROWN SUGAR",43.0,76.74,0.0,372.0,7.0,9.3,30.23,4.65,93.0,0.0,0.93
"ESSENTIAL EVERYDAY, BITE SIZE FROSTED LIGHTLY SWEETENED WHOLE GRAIN SHREDDED WHEAT CEREAL",55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
CRISPY TOASTED RICE CEREAL,39.0,87.18,0.0,385.0,0.0,7.69,10.26,0.0,21.0,38.5,1.282
ENRICHED BRAN FLAKES CEREAL,40.0,80.0,0.0,325.0,15.0,10.0,17.5,2.5,100.0,225.0,4.25
"POST, MINI CHURROS CEREAL, SWEETENED WHEAT CEREAL, CINNAMON",33.0,78.79,0.0,394.0,6.1,6.06,30.3,9.09,73.0,0.0,1.515
"SCHNUCKS, FRUIT RINGS, SWEETENED MULTI-GRAIN CEREAL, ORANGE, LEMON, CHERRY, LIME & BERRY",29.0,86.21,0.0,379.0,10.3,3.45,37.93,3.45,28.0,51.7,1.724
"FAMILIA, SWISS CRUNCH MUESLI",55.0,72.73,0.0,364.0,10.9,9.09,23.64,5.45,73.0,38.2,1.273
MISSION FIGS,40.0,65.0,0.0,275.0,12.5,2.5,50.0,0.0,60.0,0.0,0.3
HIGH FIBER GOLDEN FIGS,40.0,65.0,0.0,275.0,12.5,2.5,50.0,0.0,60.0,0.0,0.3
"KEY FOOD, OATMEAL, APPLE & CINNAMON",54.0,77.78,0.0,370.0,7.4,9.26,38.89,3.7,74.0,0.0,0.741
"FOODHOLD, OATS & O'S, CHOCOLATE, NATURALLY FLAVORED WHOLE GRAIN CORN AND OAT CEREAL ",27.0,81.48,0.0,370.0,7.4,3.7,33.33,5.56,59.0,55.6,1.852
"FOODHOLD, FRUIT SWIRLS, SWEETENED MULTIGRAIN CEREAL NATURAL FRUIT FLAVOR WITH OTHER NATURAL FLAVORS",29.0,86.21,0.0,379.0,10.3,3.45,37.93,3.45,28.0,51.7,1.724
"FOODHOLD, HONEY CRUNCHIN' OATS, ALMOND, HONEY ROASTED CLUSTERS OF OATS WITH ALMONDS AND TOASTED FLAKES OF CORN, WHEAT & RICE",32.0,81.25,0.0,406.0,6.2,9.38,18.75,6.25,50.0,18.8,1.562
"FOODHOLD, FRUIT SWIRLS, SWEETENED MULTIGRAIN CEREAL NATURAL FRUIT FLAVOR WITH OTHER NATURAL FLAVORS",29.0,86.21,0.0,379.0,10.3,3.45,37.93,3.45,28.0,51.7,1.724
"FOOD LION, LOWER SUGAR INSTANT OATMEAL, APPLE & CINNAMON",31.0,74.19,0.0,355.0,9.7,9.68,19.35,4.84,129.0,0.0,1.29
"FOOD FOR LIFE, SPROUTED GRAIN TORTILLAS",57.0,42.11,0.0,263.0,8.8,10.53,0.0,6.14,70.0,0.0,0.211
"FOOD FOR LIFE, EZEKIEL 4:9, SPROUTED GRAIN TORTILLAS",28.0,50.0,0.0,286.0,7.1,10.71,0.0,3.57,86.0,0.0,0.143
POTATO CHIPS SEASONED WITH BARBECUE SAUCE,28.0,53.57,0.0,571.0,3.6,7.14,3.57,35.71,57.0,21.4,0.286
"LITTLE SALAD BAR, SPICY GUACAMOLE",30.0,10.0,0.0,200.0,6.7,3.33,0.0,16.67,27.0,8.0,0.4
"LITTLE GREEN, HANDCRAFTED PEA-LAFEL BURGERS",142.0,21.13,0.0,120.0,4.9,5.63,4.23,2.11,113.0,10.6,0.141
"FOOD LION, CREAMY PEANUT SPREAD",35.0,37.14,0.0,543.0,8.6,20.0,11.43,34.29,171.0,0.0,0.343
"ORIGINAL INSTANT OATMEAL, ORIGINAL",28.0,67.86,0.0,357.0,10.7,14.29,0.0,7.14,114.0,0.0,1.429
"APPLES & CINNAMON FLAVOR INSTANT OATMEAL, APPLES & CINNAMON",35.0,77.14,0.0,371.0,8.6,8.57,34.29,4.29,91.0,0.0,1.143
"CINNAMON ROLL FLAVORED INSTANT OATMEAL, CINNAMON ROLL",43.0,76.74,0.0,372.0,7.0,9.3,30.23,4.65,74.0,0.0,0.93
"MAPLE & BROWN SUGAR FLAVORED INSTANT OATMEAL, MAPLE & BROWN SUGAR",43.0,76.74,0.0,372.0,7.0,9.3,30.23,4.65,93.0,0.0,0.93
"RAISIN BRAN TOASTED WHOLE GRAIN WHEAT & WHEAT BRAN CEREAL WITH RAISINS, RAISIN BRAN",59.0,79.66,0.0,339.0,10.2,8.47,33.9,1.69,136.0,0.0,0.847
"WHOLE GRAIN WHEAT & BARLEY CEREAL BRAN BITS, WHOLE GRAIN WHEAT & BARLEY CEREAL",58.0,82.76,0.0,345.0,12.1,12.07,5.17,2.59,103.0,0.0,0.862
FROSTED SHREDDED WHEAT LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
"BLUEBERRY FLAVORED FROSTED SHREDDED WHEAT LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL, BLUEBERRY",55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
"AUNT MID'S, ORGANIC GOURMET BABY GOLD POTATOES",148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
"DURUSSELS' POTATO FARM, POTATOES",148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
"RAISIN BRAN TOASTED WHOLE GRAIN WHEAT & WHEAT BRAN CEREAL WITH RAISINS, RAISIN BRAN",59.0,79.66,0.0,339.0,10.2,8.47,33.9,1.69,136.0,0.0,0.847
"APPLES & CINNAMON FLAVORED INSTANT OATMEAL, APPLES & CINNAMON",35.0,77.14,0.0,371.0,8.6,8.57,34.29,4.29,91.0,0.0,1.143
"MAPLE & BROWN SUGAR FLAVOR INSTANT OATMEAL, MAPLE & BROWN SUGAR",43.0,74.42,0.0,372.0,7.0,9.3,30.23,4.65,93.0,0.0,0.93
"MAPLE BROWN SUGAR FLAVORED SUGAR FREE INSTANT OATMEAL, MAPLE BROWN SUGAR",28.0,64.29,0.0,357.0,10.7,14.29,0.0,7.14,143.0,0.0,1.429
"APPLE CINNAMON FLAVORED SUGAR FREE INSTANT OATMEAL, APPLE CINNAMON",28.0,64.29,0.0,357.0,10.7,14.29,0.0,7.14,143.0,0.0,1.429
"REGULAR FLAVOR INSTANT OATMEAL, REGULAR",28.0,64.29,0.0,357.0,10.7,14.29,3.57,5.36,143.0,0.0,1.429
"PEACHES & CREAM FLAVOR INSTANT OATMEAL, PEACHES & CREAM",35.0,77.14,0.0,371.0,5.7,8.57,34.29,5.71,69.0,0.0,1.143
"STRAWBERRIES & CREAM FLAVOR INSTANT OATMEAL, STRAWBERRIES & CREAM",35.0,77.14,0.0,371.0,5.7,8.57,34.29,5.71,69.0,0.0,1.143
"CINNAMON ROLL FLAVORED INSTANT OATMEAL, CINNAMON ROLL",43.0,74.42,0.0,372.0,7.0,9.3,30.23,4.65,93.0,0.0,0.93
"APPLE CRUNCHIES FLAVORED SWEETENED MULTI-GRAIN CEREAL, APPLE CRUNCHIES",33.0,87.88,0.0,394.0,3.0,3.03,45.45,3.03,24.0,18.2,1.515
SWEETENED PUFFED WHEAT CEREAL,27.0,88.89,0.0,407.0,0.0,7.41,55.56,0.0,59.0,22.2,1.852
"CRACKLING COCOA CRISPS SWEETENED RICE CEREAL WITH REAL COCOA, CRACKLING COCOA CRISPS",29.0,89.66,0.0,414.0,0.0,3.45,44.83,3.45,28.0,0.0,1.724
"CHEDDAR SOUR CREAM FLAVORED KETTLE COOKED CRINKLE CUT POTATO CHIPS, CHEDDAR SOUR CREAM",28.0,60.71,0.0,500.0,3.6,7.14,7.14,28.57,57.0,32.1,0.714
"CHOCOLATE PEANUT BUTTER PROTEIN BAR, CHOCOLATE PEANUT BUTTER",68.0,42.65,0.0,412.0,2.9,29.41,30.88,14.71,88.0,44.1,0.735
"NUTS & SEEDS ALMONDS, PEANUTS, PUMPKIN SEEDS ENERGY BAR, NUTS & SEEDS",68.0,55.88,0.0,397.0,5.9,14.71,26.47,14.71,147.0,5.3,0.294
"RIGHT SIZE, SMOOTHIE, LEAN COCOA BEAN, LEAN COCOA BEAN",29.0,44.83,0.0,345.0,20.7,24.14,20.69,10.34,414.0,103.4,2.069
"COOL MINT CHOCOLATE ENERGY BAR, COOL MINT CHOCOLATE",68.0,64.71,0.0,368.0,5.9,13.24,29.41,7.35,118.0,5.3,0.294
"CHOCOLATE BROWNIE ENERGY BAR, CHOCOLATE BROWNIE",68.0,64.71,0.0,368.0,5.9,13.24,30.88,7.35,147.0,5.3,0.294
"SHOPRITE, SCRUNCHY, TOASTED RICE CEREAL",33.0,87.88,0.0,394.0,0.0,6.06,12.12,0.0,24.0,45.5,1.515
BRAN FLAKES,29.0,79.31,0.0,310.0,17.2,10.34,17.24,1.72,138.0,206.9,6.897
"SHOPRITE, SCRUNCHY, TOASTED OATS SWEETENED OAT CEREAL, APPLE CINNAMON",30.0,80.0,0.0,400.0,6.7,6.67,36.67,5.0,53.0,20.0,1.667
"CALBEE, SAYA SNOW PEA CRISPS, ORIGINAL",28.0,53.57,0.0,429.0,10.7,17.86,3.57,21.43,114.0,0.0,0.143
"IGA, SWEETENED MULTI-GRAIN APPLE WHIRLS CEREAL, APPLE AND CINNAMON",33.0,87.88,0.0,364.0,3.0,6.06,48.48,0.0,24.0,45.5,1.515
"KIND, NUTS & SPICES BAR, DARK CHOCOLATE NUTS & SEA SALT",40.0,40.0,0.0,500.0,17.5,15.0,12.5,37.5,150.0,0.0,0.1
"OAT & HONEY FLAVORED CLUSTERS LIGHTLY SWEETENED CORN & WHOLE WHEAT FLAKE CEREAL WITH GRANOLA WITH ALMONDS, OAT & HONEY WITH ALMONDS",30.0,83.33,0.0,400.0,6.7,6.67,20.0,5.0,27.0,20.0,1.667
"APPLE CINNAMON TOASTED OATS SWEETENED TOASTED OAT CEREAL WITH THE FLAVOR OF APPLE & CINNAMON, APPLE CINNAMON",30.0,80.0,0.0,400.0,6.7,6.67,36.67,5.0,53.0,20.0,1.667
"HONEY NUT FLAVORED TOASTED OATS CEREAL WITH REAL HONEY, HONEY NUT",28.0,78.57,0.0,393.0,7.1,7.14,32.14,5.36,86.0,21.4,1.786
"TOASTED OATS WHOLE GRAIN OAT CEREAL, TOASTED OATS",30.0,73.33,0.0,400.0,10.0,13.33,0.0,6.67,107.0,20.0,1.667
"MEIJER, APPLE CRUNCHES",33.0,87.88,0.0,394.0,3.0,3.03,45.45,3.03,24.0,18.2,1.515
"SUPER CINNAMON SWIRL CRUNCH SWEETENED WHOLE WHEAT AND RICE CEREAL WITH CINNAMON, SUPER CINNAMON SWIRL CRUNCH",30.0,80.0,0.0,433.0,3.3,3.33,33.33,11.67,27.0,20.0,1.667
"CRISP RICE OVEN TOASTED RICE CEREAL, CRISP RICE",33.0,87.88,0.0,394.0,0.0,6.06,12.12,0.0,24.0,45.5,1.515
SWEETENED PUFFED WHEAT CEREAL,27.0,88.89,0.0,407.0,0.0,7.41,55.56,0.0,59.0,22.2,1.852
"POPCORN, WHITE CHEDDAR CHEESE",28.0,50.0,18.0,571.0,7.1,10.71,7.14,35.71,86.0,0.0,0.286
"UTZ, ORIGINAL POTATO CHIPS",28.0,50.0,0.0,536.0,3.6,7.14,0.0,32.14,57.0,21.4,0.286
POTATO CHIPS,28.0,50.0,0.0,571.0,3.6,7.14,3.57,35.71,57.0,21.4,0.286
RIPPLES ORIGINAL POTATO CHIPS,28.0,50.0,0.0,536.0,3.6,7.14,0.0,35.71,57.0,21.4,0.286
"WEIS QUALITY, DRY ROASTED SUNFLOWER SEEDS",28.0,21.43,0.0,571.0,7.1,21.43,3.57,50.0,286.0,0.0,1.429
INSTANT OATMEAL MAPLE & BROWN SUGAR,54.0,75.93,0.0,370.0,5.6,9.26,33.33,3.7,74.0,0.0,0.741
INSTANT OATMEAL,54.0,75.93,0.0,370.0,7.4,9.26,31.48,4.63,74.0,0.0,0.741
INSTANT OATMEAL,54.0,77.78,0.0,370.0,5.6,7.41,33.33,3.7,74.0,0.0,0.741
"FREEKEH FOODS, ORGANIC ROASTED GREEN WHEAT, CRACKED WHOLE GRAINS, ROSEMARY SAGE, ROSEMARY SAGE",40.0,70.0,0.0,325.0,10.0,15.0,0.0,2.5,100.0,0.0,0.5
RIPPLES POTATO CHIPS,28.0,64.29,0.0,500.0,3.6,7.14,0.0,23.93,57.0,32.1,0.286
POTATO CHIPS,28.0,50.0,0.0,536.0,3.6,7.14,3.57,32.14,57.0,21.4,0.286
WAVY POTATO CHIPS,28.0,57.14,0.0,536.0,3.6,7.14,7.14,32.14,57.0,21.4,0.286
CEREAL,56.0,73.21,0.0,393.0,10.7,8.93,23.21,8.93,71.0,0.0,0.071
POTATO CHIPS,28.0,53.57,0.0,536.0,3.6,7.14,7.14,32.14,57.0,21.4,0.286
POTATO CHIPS,28.0,50.0,0.0,536.0,3.6,7.14,3.57,32.14,57.0,21.4,0.286
CAROLINA STYLE POTATO CHIPS,28.0,50.0,0.0,536.0,3.6,7.14,3.57,32.14,57.0,21.4,0.286
POTATO CHIPS,28.0,53.57,0.0,571.0,3.6,7.14,3.57,35.71,57.0,21.4,0.286
"UTZ, RIPPLES POTATO CHIPS, BARBEQUE",28.0,50.0,0.0,536.0,3.6,7.14,3.57,35.71,57.0,21.4,0.286
POTATO CHIPS,28.0,50.0,0.0,536.0,3.6,7.14,3.57,32.14,29.0,21.4,0.286
"UTZ, POTATO CHIPS, ORIGINAL",28.0,50.0,0.0,536.0,3.6,7.14,0.0,32.14,57.0,21.4,0.286
"UTZ, POTATO CHIPS",28.0,50.0,0.0,536.0,3.6,7.14,0.0,32.14,57.0,0.0,0.429
"UTZ, POTATO CHIPS, RED HOT",28.0,50.0,0.0,536.0,3.6,7.14,3.57,32.14,29.0,21.4,0.286
RIPPLE CUT  POTATO CHIPS,28.0,50.0,0.0,571.0,3.6,7.14,3.57,35.71,29.0,0.0,0.286
"HERR'S, POTATO CHIPS, HONEY BBQ",28.0,50.0,0.0,536.0,3.6,7.14,10.71,35.71,57.0,21.4,0.429
WAVY POTATO CHIPS,28.0,57.14,0.0,536.0,3.6,7.14,0.0,32.14,57.0,21.4,0.429
"GREAT VALUE, WHOLE GRAIN OAT CEREAL",28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
"CRUNCHY NUGGETS WHOLE GRAIN WHEAT WITH BARLEY CEREAL, CRUNCHY NUGGETS",58.0,82.76,0.0,345.0,12.1,12.07,5.17,2.59,103.0,0.0,0.862
"TOASTED MULTI-GRAIN LIGHTLY SWEETENED MULTI-GRAIN CEREAL, TOASTED MULTI-GRAIN",29.0,79.31,0.0,379.0,10.3,6.9,20.69,3.45,83.0,20.7,1.724
"SWEETENED RICE CEREAL WITH REAL COCOA, SWEETENED RICE CEREAL WITH REAL COCOA",29.0,89.66,0.0,414.0,0.0,3.45,44.83,3.45,28.0,0.0,1.724
HEARTY GRAINS MULTIGRAIN SNACK CHIPS,28.0,64.29,0.0,500.0,7.1,7.14,7.14,21.43,29.0,0.0,0.286
KALE MIX,141.0,6.38,0.0,35.0,2.1,2.84,0.71,0.35,57.0,72.3,0.213
REDUCED FAT PEANUT SPREAD,35.0,37.14,0.0,543.0,8.6,20.0,11.43,34.29,171.0,0.0,0.343
"UTZ, POTATO CHIPS, RIPPLE CUT",28.0,50.0,0.0,536.0,3.6,7.14,0.0,35.71,57.0,21.4,0.286
"UTZ, CARAMEL POPCORN WITH PEANUTS",28.0,78.57,0.0,464.0,3.6,3.57,50.0,14.29,29.0,0.0,0.143
NUTTY NUGGETS,58.0,82.76,0.0,345.0,12.1,12.07,5.17,2.59,103.0,0.0,0.862
INSTANT OATMEAL,43.0,74.42,0.0,372.0,7.0,9.3,20.93,4.65,140.0,0.0,0.93
APPLE & CINNAMON TOASTED OATS,30.0,80.0,0.0,400.0,6.7,6.67,36.67,5.0,53.0,20.0,1.667
POTATO CHIPS,28.0,53.57,0.0,536.0,3.6,7.14,3.57,32.14,57.0,21.4,0.286
